_
DePaul,Portland
Oregon St,Marist
Michigan St,North Carolina
CS Fullerton,Harvard
West Virginia,Missouri
Portland St,Stanford
Duke,Florida
Washington St,San Diego St
N Illinois,Rockford
Cincinnati,Alabama St
Yale,Delaware
Cornell,Duquesne
Liberty,Howard
Monmouth NJ,Albany NY
Morgan St,Mt St Mary's
Niagara,Army
Old Dominion,MD E Shore
Syracuse,Maryland
Virginia,Wisconsin
Lipscomb,Belmont
Marquette,E Illinois
Nicholls St,Blue Mtn
Oakland,Oral Roberts
UT Arlington,UT Dallas
Troy,Delaware St
Stetson,WI Green Bay
Cent Arkansas,Morehead St
Lamar,UTEP
Seattle,Idaho St
Hawaii,Adams St
UMBC,Shenandoah
Towson,St Mary's MD
South Carolina,Florida Intl
North Texas,Grambling
Hampton,St Leo
Akron,Chattanooga
Ball St,Oakland City
VMI,Charleston So
Dartmouth,Loyola MD
FL Atlantic,Ave Maria
Georgetown,Maine
Georgia Tech,Northwestern
Davidson,Charlotte
Iona,Ohio
Pittsburgh,High Point
Presbyterian,UNC Greensboro
Purdue,Louisville
Rhode Island,Brown
Florida St,Rutgers
VA Commonwealth,Appalachian St
Virginia Tech,Iowa
Wake Forest,Illinois
Xavier,Baylor
IPFW,Detroit
NJIT,Long Island
Houston Bap,Dallas Chr
Kansas,Toledo
S Dakota St,Mississippi
Murray St,Harris-Stowe
ULM,Jackson St
Sam Houston St,Schreiner
SE Louisiana,Loyola NO
SE Missouri St,Hannibal-Lagr
SMU,UTRGV
W Michigan,St Louis
SF Austin,N Dakota St
ULL,McNeese St
Missouri St,Colorado St
Tennessee St,Fisk
Tulsa,UT San Antonio
Valparaiso,Utah St
Vanderbilt,Radford
W Illinois,IUPUI
Wichita St,Savannah St
North Dakota,Presentation
Boise St,Loyola-Chicago
California,CS Northridge
UC Santa Barbara,San Francisco
Washington,Kennesaw
Loy Marymount,Cal St-LA
S Carolina St,Morris SC
Bowling Green,San Jose St
Cleveland St,Arkansas St
Wofford,Coastal Car
Connecticut,Columbia
Auburn,Dayton
Binghamton,Delaware St
Drexel,Lafayette
ETSU,Fordham
Winthrop,Furman
G Washington,Morgan St
Duke,Indiana
Indiana St,Air Force
George Mason,James Madison
UNC Asheville,SC Upstate
Boston Univ,New Hampshire
Buffalo,Niagara
NC State,Penn St
North Carolina,Michigan
North Florida,E Michigan
Clemson,Ohio St
Lehigh,Princeton
Providence,Rider
Vermont,Richmond
St Bonaventure,Siena
St Francis PA,American Univ
St Joseph's PA,Bucknell
St Peter's,F Dickinson
Stony Brook,Shawnee St
Tennessee,Mercer
Villanova,Penn
William & Mary,Marshall
Yale,Bryant
Robert Morris,Youngstown St
Kent,Norfolk St
Quinnipiac,Massachusetts
Albany NY,Colgate
Longwood,Bluefield WV
N Kentucky,Berea
Sacred Heart,MA Lowell
Alabama,Louisiana Tech
Ark Little Rock,Cent Arkansas
Houston,New Orleans
Kansas St,Oral Roberts
LSU,TN Martin
Marquette,Chicago St
Miami FL,Minnesota
Nebraska,Boston College
WI Milwaukee,N Illinois
Northern Iowa,UNLV
Northwestern LA,Lyon
Oklahoma St,Austin Peay
South Alabama,Southern Miss
S Illinois,SIUE
Texas St,TAM C. Christi
TCU,Belmont
Tennessee Tech,Lipscomb
Texas,Florida A&M
UT Arlington,Rice
Troy,IL Chicago
Tulane,Alcorn St
WKU,E Kentucky
Georgia St,Alabama A&M
NE Omaha,Drake
Arizona,Long Beach St
Denver,Wyoming
New Mexico,Evansville
BYU,Utah Valley
UC Davis,N Colorado
UC Irvine,Whittier
Gonzaga,Incarnate Word
Nevada,Illinois St
Southern Utah,Pepperdine
Stanford,Montana
UCLA,CS Bakersfield
FL Gulf Coast,Webber
Florida Intl,Florida National
Southern Univ,Wiley
Miami OH,Midway
Montana St,Bethesda
Hampton,Mid-Atlantic Chr
Central Conn,NC A&T
Missouri,UCF
Col Charleston,W Carolina
East Carolina,UNC Wilmington
Elon,South Florida
Hofstra,Molloy
Bethune-Cookman,Jacksonville
Long Island,Hartford
Michigan St,Notre Dame
Northeastern,Harvard
Oakland,TX Southern
Seton Hall,Texas Tech
Temple,South Carolina
Campbell,Stetson
West Virginia,NJIT
IPFW,IU Kokomo
UAB,Memphis
Jacksonville St,Alabama St
Mississippi St,N Dakota St
South Dakota,Missouri KC
Sam Houston St,St Thomas TX
Texas A&M,UTRGV
New Mexico St,UTEP
Fresno St,Weber St
Portland,Multnomah Bib
San Diego St,San Diego
Santa Clara,Northern Arizona
Seattle,Kennesaw
Pacific,UC Riverside
Oklahoma,North Texas
St Francis NY,New Rochelle
Howard,Central Penn
Savannah St,Carver Bib
Morehead St,Alice Lloyd
NC Central,Christendom
UT San Antonio,Ottawa AZ
C Michigan,Jackson St
North Carolina,Davidson
Pittsburgh,Duquesne
Grambling,Georgia Tech
Purdue,Maryland
Navy,Delaware
Ohio,Coppin St
Wagner,Fairfield
High Point,J&W NC
Bradley,E Illinois
ULL,Nicholls St
Northwestern,Illinois
TAM C. Christi,TX Lutheran
Idaho St,Bethesda
Gonzaga,Creighton
Boise St,Oregon
Army,UMBC
Marist,Citadel
Towson,La Salle
Manhattan,Holy Cross
Stetson,Edward Waters
Alcorn St,Rust
Appalachian St,South Florida
Ball St,IUPUI
Central Conn,Brown
Bucknell,Vermont
Butler,St Louis
St Bonaventure,Buffalo
Canisius,Dartmouth
Lamar,Coastal Car
Connecticut,Monmouth NJ
Drexel,Rider
Duke,South Dakota
East Carolina,Delaware St
E Kentucky,Jacksonville
Elon,St Peter's
Florida Intl,South Alabama
Fordham,Maine
Furman,Tennessee Tech
FL Atlantic,Bethune-Cookman
Boston College,Hartford
Iona,F Dickinson
James Madison,Charlotte
Kansas,Syracuse
Kent,Cleveland St
Kentucky,Harvard
Lafayette,Quinnipiac
UNC Greensboro,Liberty
Marshall,Akron
MD E Shore,American Univ
Miami FL,Princeton
Michigan,Indiana
Mt St Mary's,Loyola MD
New Hampshire,Bryant
NC State,S Carolina St
Northeastern,Cornell
North Florida,Trinity Bap
Presbyterian,NC A&T
Rhode Island,Providence
Siena,Robert Morris
South Carolina,Massachusetts
St John's,Sacred Heart
Villanova,St Joseph's PA
Stony Brook,St Francis PA
Chattanooga,TN Martin
Toledo,TX Southern
VA Commonwealth,Old Dominion
Virginia,Lehigh
Radford,VMI
Wake Forest,Richmond
Oakland,W Michigan
Winthrop,Reinhardt
Xavier,Cincinnati
SE Missouri St,NC Central
Gardner Webb,SC Upstate
Bowling Green,Norfolk St
William & Mary,Savannah St
Albany NY,Columbia
Binghamton,Colgate
MTSU,FL Gulf Coast
N Kentucky,Morehead St
Oral Roberts,Ark Little Rock
Abilene Chr,Schreiner
Belmont,WI Green Bay
Wichita St,Baylor
N Illinois,Chicago St
DePaul,Youngstown St
Evansville,Oakland City
Houston,Arkansas
Houston Bap,Texas St
Illinois St,Tulsa
Penn St,Iowa
Louisiana Tech,Miles
Loyola-Chicago,IL Chicago
Georgia,Marquette
Memphis,Mercer
Virginia Tech,Mississippi
Murray St,Florida A&M
New Orleans,Williams Bap
UTRGV,Rice
SMU,USC
S Illinois,San Jose St
SF Austin,ULM
TCU,Yale
Lipscomb,Tennessee St
UT Arlington,North Texas
Miami OH,W Illinois
WKU,Wright St
Montana St,WI Milwaukee
Ohio St,Wisconsin
Austin Peay,Alabama A&M
Missouri St,S Dakota St
Arizona St,San Francisco
Colorado St,Colorado
Air Force,Denver
Grand Canyon,UC Riverside
Southern Utah,San Diego Chr
UTEP,New Mexico
Utah,Hawaii
BYU,Utah St
Wyoming,Drake
Utah Valley,UT San Antonio
Nevada,UC Irvine
Cal Poly,Pepperdine
St Mary's CA,California
CS Fullerton,Cal Lutheran
Fresno St,Long Beach St
Arizona,UNLV
Oregon St,Loy Marymount
UC Santa Barbara,San Diego
Santa Clara,Ark Pine Bluff
UC Davis,Washington St
Portland St,Portland Bible
Northern Arizona,CS Bakersfield
Longwood,Fayetteville St
UMBC,Citadel
La Salle,Holy Cross
Towson,Manhattan
Army,Marist
Ga Southern,TN Wesleyan
Clemson,UNC Asheville
G Washington,Temple
Georgetown,Coppin St
Tennessee,Georgia Tech
Seton Hall,Louisville
Michigan St,Nebraska
Navy,Morgan St
North Carolina,Tulane
Notre Dame,St Francis NY
Purdue,Northwestern
IPFW,SIUE
NJIT,MA Lowell
UCF,Alabama
Auburn,George Mason
Maryland,Illinois
Jacksonville St,Samford
Minnesota,Rutgers
Mississippi St,Dayton
Idaho,Nicholls St
Oklahoma St,MS Valley St
Southern Miss,Rust
Kansas St,Vanderbilt
Boise St,Portland
Montana,CS Northridge
N Colorado,Western St CO
Long Beach St,Stanford
Pacific,Arkansas-FS
San Diego St,Bradley
Seattle,E Washington
UCLA,Detroit
Washington,NE Omaha
New Mexico St,Prairie View
Col Charleston,High Point
Quinnipiac,Columbia
Duquesne,MD E Shore
East Carolina,Campbell
Florida St,Florida
Liberty,Georgia St
Penn,Howard
Indiana,Iowa
Long Island,Stony Brook
Ohio St,Michigan
Wisconsin,Penn St
W Carolina,Appalachian St
Baylor,Sam Houston St
Iowa St,N Illinois
Lipscomb,Belmont
Missouri St,N Dakota St
Air Force,Western St CO
San Francisco,Cent Arkansas
Oklahoma,UT San Antonio
St Mary's CA,CS Sacramento
Seattle,Pac Lutheran
Grambling,Tougaloo
Evansville,Bowling Green
Butler,Utah
C Michigan,Montana St
Citadel,James Madison
Davidson,VMI
Duke,St Francis PA
Furman,UNC Asheville
Georgia,Winthrop
WI Milwaukee,Jacksonville
Marshall,Chattanooga
Miami FL,Boston Univ
Wake Forest,Charlotte
Niagara,New Hampshire
Northeastern,Bucknell
Ball St,Notre Dame
Pittsburgh,Mt St Mary's
Presbyterian,S Carolina St
Michigan St,Rutgers
Syracuse,Connecticut
Texas,VA Commonwealth
Villanova,Gonzaga
Wagner,MA Lowell
West Virginia,Virginia
Wright St,Ohio Valley
Sacred Heart,Dartmouth
FL Atlantic,FL Gulf Coast
Arkansas,Colorado St
TN Martin,Arkansas St
Creighton,North Dakota
Kansas St,SC Upstate
Marquette,Vermont
Memphis,Samford
Missouri,Miami OH
Nebraska,Minnesota
TCU,SMU
Texas Tech,Nevada
UAB,Troy
Wichita St,S Dakota St
Incarnate Word,TX Lutheran
Arizona,Texas A&M
Denver,San Jose St
St John's,Grand Canyon
Fresno St,CS Bakersfield
UNLV,Oral Roberts
Oregon St,E Kentucky
Pepperdine,UC Riverside
UC Santa Barbara,NE Omaha
Maine,ME Presque Isle
Akron,IPFW
St Bonaventure,Canisius
Navy,Coppin St
Dayton,Tennessee Tech
Buffalo,Delaware
UMBC,Delaware St
Toledo,Detroit
Duquesne,Stetson
ETSU,N Kentucky
E Michigan,Oakland
Loyola-Chicago,Florida
Florida St,Loyola MD
Harvard,Fordham
G Washington,Princeton
William & Mary,George Mason
Penn,Lafayette
Yale,Lehigh
Louisville,Siena
Marist,Colgate
Massachusetts,Holy Cross
Hofstra,Monmouth NJ
North Carolina,W Carolina
Old Dominion,Richmond
Providence,Brown
Robert Morris,Rider
South Carolina,Wyoming
St Peter's,Houston Bap
Temple,Wisconsin
Towson,Morgan St
Virginia Tech,Radford
W Michigan,Cleveland St
Wofford,Georgia Tech
Xavier,Kent
SIUE,IUPUI
Albany NY,Bryant
Binghamton,Army
Alabama,Rhode Island
Auburn,Gardner Webb
DePaul,Central Conn
Houston,Fairfield
Illinois,Austin Peay
Washington,Kansas
Lamar,St Thomas TX
SF Austin,Louisiana Tech
North Texas,Indiana St
SE Missouri St,Missouri KC
St Louis,S Illinois
ULL,Loyola NO
Texas St,McMurry
Tulane,Southern Univ
UTRGV,TAM C. Christi
MTSU,Vanderbilt
W Illinois,American Univ
WI Green Bay,E Illinois
South Dakota,Drake
Abilene Chr,Air Force
BYU,Illinois St
Colorado,New Mexico
Idaho St,CS Northridge
San Diego,New Mexico St
Northern Arizona,San Diego Chr
Southern Utah,Long Beach St
Utah St,UC Irvine
Utah Valley,Weber St
UC Davis,Pacific
Cent Arkansas,California
Idaho,Washington St
CS Fullerton,Portland
Hawaii,Prairie View
Coastal Car,Hampton
IL Chicago,WI Parkside
Portland St,Loy Marymount
CS Sacramento,Antelope Val
Stony Brook,Columbia
Georgetown,Howard
Hartford,Quinnipiac
Drexel,La Salle
Maryland,Ohio
UNC Greensboro,Elon
Purdue,Valparaiso
Rutgers,NJIT
Iowa St,Iowa
Northern Iowa,UT Arlington
San Francisco,E Washington
S Carolina St,Brevard
Boston Univ,Bethune-Cookman
Liberty,MD E Shore
Dartmouth,Maine
Wake Forest,Army
Jacksonville St,ULM
Missouri St,Hampton
S Dakota St,Concordia NE
Oregon,Colorado St
Arizona St,St John's
TCU,Nevada
Oklahoma,USC
UC Riverside,Air Force
Southern Nazarene,Oral Roberts
CS Bakersfield,Life Pacific
Akron,Appalachian St
American Univ,Howard
Ball St,Valparaiso
Boston College,Duke
Brown,MA Lowell
Butler,Youngstown St
Buffalo,Central Penn
UCF,Southern Univ
C Michigan,Tennessee Tech
Clemson,Samford
Connecticut,Coppin St
Penn,Dayton
Notre Dame,Delaware
W Michigan,Detroit
Duquesne,Delaware St
E Michigan,Central St OH
Florida,Cincinnati
Fordham,St Francis NY
Furman,S Carolina St
George Mason,NC Central
Georgetown,NC A&T
Georgia St,Montana
Holy Cross,New Hampshire
Jacksonville,Florida National
Lehigh,Mt St Mary's
Louisville,Indiana
Binghamton,Loyola MD
Manhattan,Morgan St
Stetson,Marist
Maryland,Gardner Webb
Massachusetts,Providence
Mercer,Florida A&M
Miami OH,IPFW
Michigan,UCLA
Michigan St,Southern Utah
Kentucky,Monmouth NJ
NC State,Missouri KC
Northeastern,Vermont
Oakland,Chicago St
Ohio St,William & Mary
Old Dominion,Bowling Green
Penn St,G Washington
West Virginia,Pittsburgh
Radford,Erskine
Richmond,James Madison
Hofstra,Rider
Rutgers,F Dickinson
Seton Hall,VA Commonwealth
Albany NY,Siena
St Bonaventure,Yale
Syracuse,Colgate
Temple,St Joseph's PA
Tennessee,Lipscomb
Marshall,Toledo
Towson,UMBC
VMI,Longwood
Wofford,J&W NC
Wright St,Kent
Xavier,Colorado
Sacred Heart,Lafayette
Iona,NJIT
Arkansas,Minnesota
Arkansas St,Henderson St
Auburn,UAB
Abilene Chr,Texas St
Baylor,Randall
Creighton,Nebraska
Drake,NE Omaha
Evansville,Canisius
DePaul,IL Chicago
Murray St,Illinois St
Tulsa,Kansas St
Lamar,Howard Payne
Louisiana Tech,Jackson St
Loyola-Chicago,Norfolk St
Memphis,Bryant
MTSU,Mississippi
Mississippi St,North Georgia
Missouri,WI Green Bay
North Texas,McNeese St
N Illinois,Central Conn
Northwestern LA,Louisiana Col
Wichita St,Oklahoma St
SE Missouri St,S Illinois
Houston,St Louis
SF Austin,Rice
UT San Antonio,Houston Bap
Texas A&M,Prairie View
FL Gulf Coast,UT Arlington
UTRGV,UC Irvine
W Illinois,WI Milwaukee
Marquette,Wisconsin
Cent Arkansas,Ark Little Rock
N Dakota St,North Dakota
Arizona,Alabama
Boise St,CS Sacramento
BYU,Weber St
Denver,SC Upstate
Idaho St,NW Nazarene
UC Santa Barbara,Montana St
New Mexico St,New Mexico
UTEP,Washington St
Utah,Utah St
Wyoming,Pacific
UC Davis,Wm Jessup
Fresno St,Cal Poly
CS Fullerton,Utah Valley
UNLV,Illinois
Loy Marymount,CS Northridge
Oregon St,Ark Pine Bluff
Long Beach St,Pepperdine
Portland,San Jose St
San Diego,Northern Arizona
California,San Diego St
Portland St,Santa Clara
CS Bakersfield,Idaho
Hawaii,Hawaii Hilo
Ga Southern,Savannah St
Grand Canyon,Grambling
Indiana St,Indianapolis
St Mary's CA,Seattle
South Carolina,Coastal Car
Col Charleston,North Greenville
Navy,Columbia
ETSU,Hiwassee
Florida St,Tulane
Fairfield,Long Island
Maine,ME Machias
UNC Asheville,Milligan
St Francis PA,Niagara
Ohio,WKU
Purdue,IUPUI
Robert Morris,Drexel
Chattanooga,Charlotte
Villanova,La Salle
Virginia Tech,MD E Shore
Wagner,Mercy
High Point,Toccoa Falls
N Kentucky,E Kentucky
Iowa,Southern Univ
Iowa St,Alcorn St
Arizona St,Kansas
LSU,UNC Wilmington
Northern Iowa,Dubuque
Oral Roberts,Missouri St
Southern Miss,Troy
SIUE,South Alabama
South Dakota,E Washington
N Colorado,Panhandle St
Gonzaga,Washington
Cleveland St,Notre Dame OH
FL Atlantic,Webber
TN Martin,Cin Clermont
North Florida,Florida A&M
Hartford,Sacred Heart
Louisville,Bryant
Florida Intl,South Florida
Vermont,Siena
DePaul,Alabama A&M
Minnesota,Drake
Northwestern,Chicago St
Oregon,TX Southern
Grand Canyon,NC Central
Jackson St,Fisk
Bethune-Cookman,Cal Poly
Boston College,Columbia
UCF,SE Louisiana
Cincinnati,Mississippi St
Colgate,NJIT
Ga Southern,George Mason
Georgia St,Point
Indiana St,WI Green Bay
Iona,Yale
UMBC,Coppin St
Princeton,Monmouth NJ
Rutgers,Fordham
Seton Hall,St Peter's
S Carolina St,Charleston So
Army,St Francis NY
Hofstra,Stony Brook
Tennessee St,Alabama St
ULL,Louisiana Tech
Memphis,Albany NY
ULM,Grambling
St Louis,Murray St
Michigan,Texas
N Dakota St,Valley City St
S Dakota St,North Dakota
San Diego,Colorado
Wyoming,E Washington
Oregon St,Jacksonville St
New Mexico St,E New Mexico
Maryland,Catholic
Alcorn St,Fisk
Morehead St,Kentucky Chr
Duquesne,MS Valley St
UNC Greensboro,UNC Wilmington
North Florida,Florida Intl
Villanova,Temple
MA Lowell,Boston Univ
Belmont,WI Milwaukee
Bradley,Ark Little Rock
Illinois,Longwood
LSU,Houston
Mississippi,Sam Houston St
SMU,New Orleans
S Illinois,Jackson St
Texas A&M,Savannah St
Texas Tech,Kennesaw
Wisconsin,WKU
Southern Miss,Alabama A&M
NE Omaha,Arkansas St
Boise St,Grand Canyon
N Colorado,Denver
Fresno St,Ark Pine Bluff
Oregon,Portland St
Seattle,St Martin's
Campbell,Citadel
Furman,Montreat
Presbyterian,Toccoa Falls
South Florida,Bethune-Cookman
NC Central,McNeese St
Baylor,TX Southern
Northwestern,Valparaiso
Rice,St Edward's
Tulsa,Prairie View
Lipscomb,Florida Col
South Dakota,Northern Arizona
USC,Santa Clara
SE Louisiana,Southern N.O.
Southern Univ,Florida A&M
VMI,S Wesleyan
Howard,Washington Advt
Utah Valley,Bethesda
Norfolk St,Mid-Atlantic Chr
San Francisco,UC Davis
E Kentucky,Charleston So
NC A&T,Tennessee St
Creighton,MD E Shore
IL Chicago,Dartmouth
Sam Houston St,Ark Little Rock
TAM C. Christi,St Mary's TX
Colorado,S Dakota St
Idaho,Simon Fraser
Stanford,Denver
Mt St Mary's,Washington MD
Samford,Thomas GA
Houston Bap,Barclay
Akron,MS Valley St
Purdue,Butler
Buffalo,Robert Morris
Citadel,Point
Dayton,Georgia St
Michigan,Detroit
Clemson,Florida
James Madison,Florida Intl
Oklahoma St,Florida St
Arkansas St,FL Atlantic
Miami FL,G Washington
Syracuse,Georgetown
Kentucky,Virginia Tech
Louisville,Memphis
Marshall,Ohio
Massachusetts,Georgia
New Hampshire,Lyndon St
UNC Greensboro,NC State
Indiana,Notre Dame
Michigan St,Oakland
Ohio St,Appalachian St
Pittsburgh,McNeese St
Rhode Island,Col Charleston
Rider,Wagner
Rutgers,Seton Hall
S Carolina St,Jacksonville
St Bonaventure,Vermont
Temple,Drexel
Wright St,Toledo
VA Commonwealth,Bucknell
Virginia,Davidson
Xavier,ETSU
IPFW,Stetson
Niagara,Norfolk St
Albany NY,Canisius
NJIT,F Dickinson
Cornell,Longwood
Kennesaw,Bethune-Cookman
Oral Roberts,FL Gulf Coast
Winthrop,Alabama St
Arkansas,Troy
Auburn,MTSU
Belmont,Pepperdine
Bradley,Chicago St
Northwestern,DePaul
Evansville,Austin Peay
Grambling,SE Louisiana
New Mexico St,Illinois
Iowa,Drake
Iowa St,Northern Iowa
Jacksonville St,SC Upstate
Kansas St,SE Missouri St
SF Austin,LSU
Illinois St,Mississippi
Mississippi St,TN Martin
Missouri,North Florida
Murray St,Marist
Kansas,Nebraska
LSU Shreveport,Northwestern LA
Southern Miss,Wm Carey
South Alabama,E Illinois
ULL,New Orleans
Texas,Louisiana Tech
Texas Tech,Rice
Tulsa,Manhattan
UT Arlington,UTRGV
WKU,Indiana St
Oklahoma,Wichita St
WI Milwaukee,Loyola-Chicago
Incarnate Word,Missouri KC
BYU,Utah
Arizona,New Mexico
Southern Utah,C Michigan
Utah St,Life Pacific
Weber St,Ark Pine Bluff
Wyoming,TX Southern
Princeton,Cal Poly
California,CS Fullerton
Oregon,Fresno St
Gonzaga,North Dakota
E Michigan,Long Beach St
Oregon St,St Louis
UNLV,Pacific
North Texas,San Diego
Seattle,Portland
St Mary's CA,UC Irvine
Cincinnati,UCLA
Washington St,IUPUI
Portland St,Linfield
UAB,Alabama A&M
WI Green Bay,WI Parkside
CS Bakersfield,Ga Southern
St Francis NY,NY Maritime
Coastal Car,Montreat
UT San Antonio,Bethany KS
Liberty,Kentucky Chr
Nicholls St,Culver-Stockton
Army,Air Force
Boston College,Central Conn
Elon,Boston Univ
Delaware,Delaware St
Duquesne,NC A&T
Old Dominion,Fairfield
Penn St,George Mason
Georgia Tech,Florida A&M
La Salle,Mercer
St Peter's,Long Island
UMBC,N Kentucky
Miami OH,Rio Grande
Morehead St,Cent Arkansas
W Carolina,UNC Asheville
Furman,UNC Wilmington
Providence,Stony Brook
St John's,Iona
St Joseph's PA,Maine
North Carolina,Tennessee
William & Mary,Milligan
Gardner Webb,Hampton
Wofford,High Point
Binghamton,Sacred Heart
Siena,Bryant
Baylor,Savannah St
Houston,Prairie View
S Illinois,Lamar
Tennessee Tech,Chattanooga
Lipscomb,Abilene Chr
Arizona St,Vanderbilt
Colorado St,Texas St
Montana,UC Riverside
E Washington,CS Northridge
Nevada,Radford
South Dakota,San Jose St
Stanford,San Francisco
USC,UC Santa Barbara
Washington,Loy Marymount
Hawaii,Utah Valley
NE Omaha,Cornell IA
Evansville,Midway
Mt St Mary's,American Univ
Wake Forest,Coastal Car
Drexel,Quinnipiac
Charlotte,East Carolina
E Kentucky,Norfolk St
Florida St,Charleston So
IPFW,Indiana
Northeastern,Kent
Michigan St,Houston Bap
South Florida,Northern Arizona
St Francis PA,Bethany WV
Idaho,W Michigan
Ark Little Rock,Univ Ozarks
Creighton,UT Arlington
Jacksonville St,Howard
Kansas,NE Omaha
Marquette,N Illinois
ULM,Millsaps
New Orleans,Panhandle St
Samford,Asbury
SMU,Boise St
TCU,TX Southern
Texas,Tennessee St
Tulane,Nicholls St
Arizona,N Dakota St
Idaho St,Youngstown St
Montana St,Denver
Gonzaga,IUPUI
Valparaiso,Santa Clara
Fresno St,CS Monterey Bay
Grand Canyon,MS Valley St
Lafayette,Susquehanna
WI Green Bay,Rockford
SC Upstate,Coastal GA
Alcorn St,Blue Mtn
Ball St,North Florida
Butler,Morehead St
Canisius,Elon
Col Charleston,S Carolina St
Cincinnati,Ark Pine Bluff
Clemson,South Carolina
ETSU,Detroit
Duquesne,Lamar
Florida Intl,FL Gulf Coast
Georgia,Georgia Tech
Iona,Holy Cross
UNC Asheville,UNC Greensboro
Niagara,Cleveland St
NC State,Robert Morris
Notre Dame,Dartmouth
Ohio St,Citadel
Penn St,Binghamton
Pittsburgh,Delaware St
Bucknell,Richmond
UCF,Stetson
Syracuse,Buffalo
VA Commonwealth,Winthrop
Virginia,Savannah St
Virginia Tech,Presbyterian
High Point,W Carolina
Xavier,Marshall
Ga Southern,Kennesaw
Arkansas,Oral Roberts
Austin Peay,Troy
E Illinois,W Illinois
Illinois St,IL Chicago
Iowa,Southern Utah
LSU,Sam Houston St
McNeese St,Texas Col
Alabama,Mercer
Mississippi,TAM C. Christi
Missouri,SF Austin
C Michigan,Missouri KC
Auburn,Murray St
Northwestern,Lewis
Oklahoma St,Tulsa
SMU,Cal Poly
S Illinois,NC A&T
St Louis,Campbell
ULL,SE Louisiana
Missouri St,Wright St
Texas St,Ecclesia
Texas A&M,N Kentucky
Texas Tech,FL Atlantic
Belmont,WKU
Wichita St,Arkansas St
SIUE,Chicago St
S Dakota St,Drake
Arizona St,Longwood
Colorado St,Arkansas-FS
Montana,UC Irvine
New Mexico,Rice
UTEP,Incarnate Word
Weber St,Pepperdine
N Colorado,Wyoming
Nevada,UC Davis
Portland,Hartford
CS Sacramento,CS Northridge
San Francisco,Radford
UC Santa Barbara,San Diego Chr
California,Seattle
St Mary's CA,Dayton
UCLA,South Dakota
Princeton,USC
Washington,Bethune-Cookman
Oklahoma,Northwestern LA
Abilene Chr,Arlington Bap
Central Conn,Maine
Cornell,Lafayette
Delaware,CS Bakersfield
Duke,Evansville
Florida,James Madison
G Washington,New Hampshire
Georgetown,North Texas
Manhattan,Hofstra
Northern Arizona,Jacksonville
Louisville,Albany NY
Georgia St,Massachusetts
Wofford,North Carolina
Oakland,Towson
Ohio,Prairie View
Houston,Providence
Seton Hall,Wagner
St Bonaventure,Northeastern
St John's,St Joseph's PA
Tennessee,Furman
Toledo,Jackson St
West Virginia,Coppin St
Hampton,Appalachian St
Gardner Webb,Toccoa Falls
UAB,New Orleans
Baylor,Southern Univ
Creighton,SC Upstate
Iowa St,MD E Shore
Memphis,Siena
Mississippi St,Ark Little Rock
ULM,Centenary
Nebraska,UT San Antonio
Nicholls St,Mobile
Bradley,SE Missouri St
TN Martin,Blue Mtn
Vanderbilt,Houston Bap
Utah,Northwestern LA
Utah St,Youngstown St
UNLV,MS Valley St
Oregon,Cent Arkansas
Kansas St,Washington St
UC Riverside,Valparaiso
E Washington,Providence GF
Utah Valley,MT Tech
Butler,W Illinois
UCF,S Carolina St
Charleston So,J&W NC
Cincinnati,Cleveland St
East Carolina,Grambling
Florida St,Southern Miss
Fordham,Florida A&M
Harvard,Boston Univ
Indiana,Tennessee Tech
Kent,Oregon St
Loyola MD,Drexel
Maryland,F Dickinson
Michigan,Alabama A&M
Michigan St,Long Beach St
Lipscomb,Navy
Notre Dame,SE Louisiana
Presbyterian,Piedmont
Purdue,Tennessee St
Rhode Island,Iona
South Florida,Charlotte
St Francis PA,Lehigh
Vermont,Quinnipiac
Kennesaw,Samford
DePaul,Miami OH
Chattanooga,Jacksonville St
Marquette,American Univ
Minnesota,Oral Roberts
N Illinois,IL Chicago
Texas A&M,Buffalo
UT Arlington,Cal Poly
Troy,Milligan
Tulane,South Alabama
Bowling Green,WI Green Bay
NE Omaha,Montana St
South Dakota,Northland
Arizona,Connecticut
BYU,Idaho St
Grand Canyon,Longwood
UC Irvine,Idaho
Portland St,California
Portland,CS Sacramento
San Diego St,Gonzaga
San Jose St,Santa Clara
Kansas,Stanford
UTEP,Howard
N Dakota St,UNC Wilmington
IPFW,Liberty
Louisiana Tech,Alabama St
E Illinois,St Francis IL
SF Austin,Arlington Bap
UNC Greensboro,Southeastern FL
Ball St,Jackson St
Brown,Marist
Bucknell,La Salle
Campbell,Allen
C Michigan,SIUE
Clemson,ULL
Col Charleston,Coastal Car
Colgate,Pitt-Bradford
Mt St Mary's,Coppin St
Dartmouth,Bryant
Murray St,Detroit
ETSU,Ga Southern
Fairfield,New Hampshire
Florida,Incarnate Word
Hartford,Florida Intl
George Mason,Morgan St
Georgia,Temple
Wright St,Georgia Tech
Villanova,Hofstra
Elon,Indiana St
Marshall,E Kentucky
Massachusetts,Maine
NC State,Jacksonville
Oakland,E Michigan
Old Dominion,Norfolk St
Rider,Penn St
Pittsburgh,Towson
Providence,Sacred Heart
Canisius,Robert Morris
Stony Brook,Rutgers
Siena,Holy Cross
St Bonaventure,Syracuse
VA Commonwealth,VMI
Virginia,Hampton
Monmouth NJ,Yale
IUPUI,IU Kokomo
NJIT,Bryn Athyn
Long Island,Binghamton
