RANK,TEAM,RATING,WINS,LOSSES
1,UCF,20.2557,13,0
2,ALABAMA,19.6004,13,1
3,WISCONSIN,19.4517,13,1
4,GEORGIA,19.0603,13,2
5,OHIO STATE,18.0116,12,2
6,CLEMSON,17.9866,12,2
7,OKLAHOMA,17.597,12,2
8,PENN STATE,17.1974,11,2
9,TROY,16.6669,11,2
10,TEXAS CHRISTIAN,16.6249,11,3
11,BOISE STATE,16.1698,11,3
12,SOUTH FLORIDA,15.8555,10,2
13,MEMPHIS,15.5965,10,3
14,NOTRE DAME,15.3177,10,3
15,USC,15.1433,11,3
16,MICHIGAN STATE,15.11,10,3
17,MIAMI FL,15.0249,10,3
18,NORTHWESTERN,14.6694,10,3
19,FLORIDA ATLANTIC,14.6052,11,3
20,OKLAHOMA STATE,14.4071,10,3
21,AUBURN,14.3174,10,4
22,WASHINGTON,14.1201,10,3
23,TOLEDO,14.0412,11,3
24,SAN DIEGO STATE,13.8008,10,3
25,ARMY,13.7339,10,3
26,FRESNO STATE,13.1198,10,4
27,LSU,11.7448,9,4
28,WASHINGTON STATE,11.7106,9,4
29,MISSISSIPPI STATE,11.639,9,4
30,STANFORD,11.6281,9,5
31,NORTH CAROLINA STATE,11.1932,9,4
32,SOUTH CAROLINA,11.0297,9,4
33,VIRGINIA TECH,10.8468,9,4
34,NORTH TEXAS,10.353,9,5
35,APPALACHIAN STATE,9.8983,9,4
36,OHIO,9.4189,9,4
37,IOWA,9.28,8,5
38,IOWA STATE,8.3679,8,5
39,MICHIGAN,8.1398,8,5
40,WAKE FOREST,8.0327,8,5
41,LOUISVILLE,7.416,8,5
42,KANSAS STATE,7.1618,8,5
43,WYOMING,6.4248,8,5
44,MARSHALL,6.1226,8,5
45,FLORIDA INTERNATIONAL,6.0324,8,5
46,CENTRAL MICHIGAN,5.9802,8,5
47,NORTHERN ILLINOIS,5.9446,8,5
48,SOUTHERN MISSISSIPPI,5.3281,8,5
49,BOSTON COLLEGE,5.2879,7,6
50,UAB,4.9303,8,5
51,HOUSTON,4.6164,7,5
52,FLORIDA STATE,4.3977,7,6
53,NAVY,3.4433,7,6
54,DUKE,3.269,7,6
55,KENTUCKY,2.9668,7,6
56,TEXAS A&M,2.7625,7,6
57,TEXAS,2.6652,7,6
58,WEST VIRGINIA,2.5765,7,6
59,PURDUE,2.4397,7,6
60,ARIZONA STATE,2.3329,7,6
61,GEORGIA STATE,2.202,7,5
62,SMU,1.9496,7,6
63,LOUISIANA TECH,1.6719,7,6
64,OREGON,1.5812,7,6
65,UTAH,1.3458,7,6
66,TEMPLE,1.2826,7,6
67,ARIZONA,0.414,7,6
68,UTSA,-0.0058,6,5
69,MISSOURI,-0.0393,7,6
70,ARKANSAS STATE,-0.1916,7,5
71,AKRON,-0.2551,7,7
72,MIDDLE TENNESSEE STATE,-1.2117,7,6
73,COLORADO STATE,-1.7937,7,6
74,OLE MISS,-2.0529,6,6
75,UCLA,-2.1267,6,7
76,TEXAS TECH,-2.3532,6,7
77,WESTERN MICHIGAN,-2.6101,6,6
78,NEW MEXICO STATE,-2.6877,7,6
79,BUFFALO,-3.286,6,6
80,VIRGINIA,-4.0509,6,7
81,GEORGIA TECH,-4.1521,5,6
82,UTAH STATE,-5.4541,6,7
83,WESTERN KENTUCKY,-5.7426,6,7
84,VANDERBILT,-5.7583,5,7
85,TULANE,-6.1546,5,7
86,MINNESOTA,-6.4182,5,7
87,CALIFORNIA,-6.6489,5,7
88,PITT,-6.7545,5,7
89,AIR FORCE,-6.9109,5,7
90,COLORADO,-6.9684,5,7
91,INDIANA,-7.4697,5,7
92,EASTERN MICHIGAN,-7.6736,5,7
93,FLORIDA,-7.8251,4,7
94,OLD DOMINION,-8.2406,5,7
95,MIAMI OH,-8.4381,5,7
96,NEVADA-LAS VEGAS,-9.3406,5,7
97,LOUISIANA-LAFAYETTE,-9.5146,5,7
98,SYRACUSE,-9.5674,4,8
99,MARYLAND,-10.005,4,8
100,NEBRASKA,-10.0233,4,8
101,ARKANSAS,-10.2973,4,8
102,TENNESSEE,-10.5963,4,8
103,RUTGERS,-10.9933,4,8
104,CINCINNATI,-11.2465,4,8
105,LOUISIANA-MONROE,-11.3713,4,8
106,SOUTH ALABAMA,-11.6111,4,8
107,IDAHO,-11.7107,4,8
108,MASSACHUSETTS,-12.246,4,8
109,BRIGHAM YOUNG,-12.7306,4,9
110,NORTH CAROLINA,-13.6313,3,9
111,EAST CAROLINA,-13.9306,3,9
112,NEW MEXICO,-14.1318,3,9
113,CONNECTICUT,-14.1923,3,9
114,NEVADA,-14.2125,3,9
115,HAWAII,-14.6441,3,9
116,COASTAL CAROLINA,-14.8149,3,9
117,TULSA,-16.0067,2,10
118,ILLINOIS,-16.2172,2,10
119,KENT STATE,-16.5159,2,10
120,BOWLING GREEN STATE,-16.532,2,10
121,TEXAS STATE,-16.7289,2,10
122,BALL STATE,-16.7642,2,10
123,GEORGIA SOUTHERN,-16.8269,2,10
124,SAN JOSE STATE,-17.3767,2,11
125,RICE,-18.3921,1,11
126,KANSAS,-18.5354,1,11
127,BAYLOR,-18.5829,1,11
128,OREGON STATE,-18.625,1,11
129,CHARLOTTE,-18.6479,1,11
130,UTEP,-20.0098,0,12
131,FCS,-43.4658,9,89
